skill,role_type,exp_category,primary_location
Machine Learning,Data Science,Mid Level (3-5 Yrs),Pune
Python,Data Science,Mid Level (3-5 Yrs),Pune
SQLData,Data Science,Mid Level (3-5 Yrs),Pune
Data Science,Data Science,Mid Level (3-5 Yrs),Pune
Machine,Data Science,Mid Level (3-5 Yrs),Pune
Data Analysis,Data Science,Mid Level (3-5 Yrs),Hybrid - Chennai
Backenddata science,Data Science,Mid Level (3-5 Yrs),Hybrid - Chennai
Machine Learning,Data Science,Mid Level (3-5 Yrs),Hybrid - Chennai
Data processing,Data Science,Mid Level (3-5 Yrs),Hybrid - Chennai
SEOJIRABusiness solutions,Data Science,Mid Level (3-5 Yrs),Hybrid - Chennai
Data Science,Data Science,Mid Level (3-5 Yrs),Kolkata
NLP,Data Science,Mid Level (3-5 Yrs),Kolkata
Machine Learning,Data Science,Mid Level (3-5 Yrs),Kolkata
Deep Learning,Data Science,Mid Level (3-5 Yrs),Kolkata
Python,Data Science,Mid Level (3-5 Yrs),Kolkata
RSpark,Data Science,Mid Level (3-5 Yrs),Kolkata
Process,Data Science,Mid Level (3-5 Yrs),Kolkata
Analytical skillsdeep learning,Data Science,Mid Level (3-5 Yrs),Kolkata
Publishing,Data Science,Mid Level (3-5 Yrs),Kolkata
Architecturedata science,Data Science,Mid Level (3-5 Yrs),Kolkata
Artificial Intelligencedata visualization,Data Science,Mid Level (3-5 Yrs),Kolkata
Data managementdata science,Data Science,Senior (6-10 Yrs),Kolkata
Project Management,Data Science,Senior (6-10 Yrs),Kolkata
Data analyticsdata visualization,Data Science,Senior (6-10 Yrs),Kolkata
Data mining,Data Science,Senior (6-10 Yrs),Kolkata
Business intelligence,Data Science,Senior (6-10 Yrs),Kolkata
Data Science,Data Science,Mid Level (3-5 Yrs),Bangalore
Javadata managementdatabase programming languagesmathematical computing,Data Science,Mid Level (3-5 Yrs),Bangalore
Confluence,Data Science,Mid Level (3-5 Yrs),Bangalore
Jira,Data Science,Mid Level (3-5 Yrs),Bangalore
Python,Data Science,Mid Level (3-5 Yrs),Bangalore
regressionrecommendationmachine learning algorithms,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Analysis,Data Science,Mid Level (3-5 Yrs),Hyderabad
Python,Data Science,Mid Level (3-5 Yrs),Hyderabad
Rclustering,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Wrangling,Data Science,Junior (1-2 Yrs),Remote
Pandas,Data Science,Junior (1-2 Yrs),Remote
Data Analysis,Data Science,Junior (1-2 Yrs),Remote
Data Visualization,Data Science,Junior (1-2 Yrs),Remote
Jupyter Notebook,Data Science,Junior (1-2 Yrs),Remote
Numpy,Data Science,Junior (1-2 Yrs),Remote
Python,Data Science,Junior (1-2 Yrs),Remote
NLP,Data Science,Mid Level (3-5 Yrs),Remote
Statistical Modeling,Data Science,Mid Level (3-5 Yrs),Remote
Machine Learning,Data Science,Mid Level (3-5 Yrs),Remote
Data Science,Data Science,Mid Level (3-5 Yrs),Remote
Advanced Analytics,Data Science,Mid Level (3-5 Yrs),Remote
Process,Data Science,Mid Level (3-5 Yrs),Remote
Chemicaldata science,Data Science,Mid Level (3-5 Yrs),Bangalore
Data modeling,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Genomics,Data Science,Mid Level (3-5 Yrs),Bangalore
Machine Learning,Data Science,Mid Level (3-5 Yrs),Bangalore
Cloud,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Cloud computing,Data Science,Mid Level (3-5 Yrs),Pune
Operations research,Data Science,Mid Level (3-5 Yrs),Pune
Data Analysis,Data Science,Mid Level (3-5 Yrs),Pune
Agile,Data Science,Mid Level (3-5 Yrs),Pune
Risk management,Data Science,Mid Level (3-5 Yrs),Pune
Business intelligence,Data Science,Mid Level (3-5 Yrs),Pune
Gaming,Data Science,Mid Level (3-5 Yrs),Pune
Data Analysis,Data Science,Mid Level (3-5 Yrs),Pune
Analystdata science,Data Science,Mid Level (3-5 Yrs),Pune
Data Analysis,Data Science,Mid Level (3-5 Yrs),Pune
Machine Learning,Data Science,Mid Level (3-5 Yrs),Pune
Programming,Data Science,Mid Level (3-5 Yrs),Pune
Data Analysis,Data Science,Mid Level (3-5 Yrs),Pune
Pythonmachine,Data Science,Mid Level (3-5 Yrs),Pune
Predictive Modeling,Data Science,Senior (6-10 Yrs),Hyderabad
Customer Analytics,Data Science,Senior (6-10 Yrs),Hyderabad
Marketing Analytics,Data Science,Senior (6-10 Yrs),Hyderabad
Machine Learning,Data Science,Senior (6-10 Yrs),Hyderabad
Python,Data Science,Senior (6-10 Yrs),Hyderabad
AWSModeling,Data Science,Senior (6-10 Yrs),Hyderabad
Data Analysis,Data Science,Senior (6-10 Yrs),Hyderabad
Product management,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
Linuxdata science,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
Data Analysis,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
Machine Learning,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
Cloud,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
Agile,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
Database administration,Data Science,Junior (1-2 Yrs),Mumbai (All Areas)
data science,Data Science,Mid Level (3-5 Yrs),Gurgaon
Underwriting,Data Science,Mid Level (3-5 Yrs),Gurgaon
Finance,Data Science,Mid Level (3-5 Yrs),Gurgaon
Machine Learning,Data Science,Mid Level (3-5 Yrs),Gurgaon
Agile,Data Science,Mid Level (3-5 Yrs),Gurgaon
Manager Technology,Data Science,Mid Level (3-5 Yrs),Gurgaon
Actuarial,Data Science,Mid Level (3-5 Yrs),Gurgaon
NLP,Data Science,Mid Level (3-5 Yrs),Gurgaon
Chat,Data Science,Junior (1-2 Yrs),Gurgaon
GPTMarketing Mix,Data Science,Junior (1-2 Yrs),Gurgaon
AWSPython,Data Science,Junior (1-2 Yrs),Gurgaon
SQLGenerative AIArtificial Intelligence,Data Science,Junior (1-2 Yrs),Gurgaon
Pandas,Data Science,Junior (1-2 Yrs),Gurgaon
Business objects,Data Science,Mid Level (3-5 Yrs),Pune
SASProcess improvement,Data Science,Mid Level (3-5 Yrs),Pune
XMLJavascript,Data Science,Mid Level (3-5 Yrs),Pune
Data collection,Data Science,Mid Level (3-5 Yrs),Pune
Manager Quality Control,Data Science,Mid Level (3-5 Yrs),Pune
SPSS,Data Science,Mid Level (3-5 Yrs),Pune
Marketing analyticsdata science,Data Science,Expert (10+ Yrs),Hyderabad
Bfsi,Data Science,Expert (10+ Yrs),Hyderabad
Sales analytics,Data Science,Expert (10+ Yrs),Hyderabad
Sales forecasting,Data Science,Expert (10+ Yrs),Hyderabad
Healthcare,Data Science,Expert (10+ Yrs),Hyderabad
E-commerce,Data Science,Expert (10+ Yrs),Hyderabad
Marketing Analyst,Data Science,Expert (10+ Yrs),Hyderabad
Computer science,Data Science,Mid Level (3-5 Yrs),Kolkata
Automation,Data Science,Mid Level (3-5 Yrs),Kolkata
Data migration,Data Science,Mid Level (3-5 Yrs),Kolkata
Coding,Data Science,Mid Level (3-5 Yrs),Kolkata
Debugging,Data Science,Mid Level (3-5 Yrs),Kolkata
Javascript,Data Science,Mid Level (3-5 Yrs),Kolkata
Selenium,Data Science,Mid Level (3-5 Yrs),Kolkata
JIRA,Data Science,Mid Level (3-5 Yrs),Kolkata
Text mining,Data Science,Mid Level (3-5 Yrs),Noida
Career development,Data Science,Mid Level (3-5 Yrs),Noida
Coding,Data Science,Mid Level (3-5 Yrs),Noida
Data Analysis,Data Science,Mid Level (3-5 Yrs),Noida
Machine learningmodel development,Data Science,Mid Level (3-5 Yrs),Noida
Risk management,Data Science,Mid Level (3-5 Yrs),Noida
Python,Data Science,Mid Level (3-5 Yrs),Noida
SASData management,Data Science,Senior (6-10 Yrs),Bangalore
Project Management,Data Science,Senior (6-10 Yrs),Bangalore
Data Analysis,Data Science,Senior (6-10 Yrs),Bangalore
Strategic planning,Data Science,Senior (6-10 Yrs),Bangalore
Customer retention,Data Science,Senior (6-10 Yrs),Bangalore
Market research,Data Science,Senior (6-10 Yrs),Bangalore
Recruitment,Data Science,Senior (6-10 Yrs),Bangalore
NLP,Data Science,Junior (1-2 Yrs),Gurgaon
LLMlarge language model,Data Science,Junior (1-2 Yrs),Gurgaon
Data Sciencegenerative ai services,Data Science,Junior (1-2 Yrs),Gurgaon
Artificial Intelligence,Data Science,Junior (1-2 Yrs),Gurgaon
Processing,Data Science,Junior (1-2 Yrs),Gurgaon
Process,Data Science,Junior (1-2 Yrs),Gurgaon
SLMNatural Language Processinglarge language models,Data Science,Mid Level (3-5 Yrs),Pune
Deep Learning,Data Science,Mid Level (3-5 Yrs),Pune
Python,Data Science,Mid Level (3-5 Yrs),Pune
Tensorflow,Data Science,Mid Level (3-5 Yrs),Pune
Pytorchnamed entity recognition,Data Science,Mid Level (3-5 Yrs),Pune
Data Science,Data Science,Senior (6-10 Yrs),Kolkata
NLP,Data Science,Senior (6-10 Yrs),Kolkata
Neural Networks,Data Science,Senior (6-10 Yrs),Kolkata
Time Series,Data Science,Senior (6-10 Yrs),Kolkata
Computer Vision,Data Science,Senior (6-10 Yrs),Kolkata
Process,Data Science,Senior (6-10 Yrs),Kolkata
Networking,Data Science,Senior (6-10 Yrs),Kolkata
Automation,Data Science,Junior (1-2 Yrs),Pune
Semiconductor,Data Science,Junior (1-2 Yrs),Pune
Project Management,Data Science,Junior (1-2 Yrs),Pune
Risk assessment,Data Science,Junior (1-2 Yrs),Pune
Machine Learning,Data Science,Junior (1-2 Yrs),Pune
Data Analysis,Data Science,Junior (1-2 Yrs),Pune
JSONSQL,Data Science,Junior (1-2 Yrs),Pune
SQLdata science,Data Science,Mid Level (3-5 Yrs),Thane
Agile scrum,Data Science,Mid Level (3-5 Yrs),Thane
Project Management,Data Science,Mid Level (3-5 Yrs),Thane
Machine Learning,Data Science,Mid Level (3-5 Yrs),Thane
Data analyticsdata visualization,Data Science,Mid Level (3-5 Yrs),Thane
Open source,Data Science,Mid Level (3-5 Yrs),Thane
Predictive Modeling,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
Statistical Modeling,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
Machine Learning,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
Python,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
Financial Modelling,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
RLogistic Regression,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
Risk Analytics,Data Science,Senior (6-10 Yrs),Hybrid - Bangalore/ Bangalore
Text mining,Data Science,Mid Level (3-5 Yrs),Bangalore
Career development,Data Science,Mid Level (3-5 Yrs),Bangalore
Coding,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Machine learningmodel development,Data Science,Mid Level (3-5 Yrs),Bangalore
Risk management,Data Science,Mid Level (3-5 Yrs),Bangalore
Python,Data Science,Mid Level (3-5 Yrs),Bangalore
pythonnumpymachine learningtensorflow,Data Science,Junior (1-2 Yrs),Bangalore
Pandasdeep learning frameworksalgorithmsdata analytics,Data Science,Junior (1-2 Yrs),Bangalore
Sales,Data Science,Mid Level (3-5 Yrs),Thane
Mortgage,Data Science,Mid Level (3-5 Yrs),Thane
MISProcess improvement,Data Science,Mid Level (3-5 Yrs),Thane
Credit underwriting,Data Science,Mid Level (3-5 Yrs),Thane
Legal documentation,Data Science,Mid Level (3-5 Yrs),Thane
Credit risk,Data Science,Mid Level (3-5 Yrs),Thane
Sales,Data Science,Mid Level (3-5 Yrs),Gurgaon
Mortgage,Data Science,Mid Level (3-5 Yrs),Gurgaon
MISProcess improvement,Data Science,Mid Level (3-5 Yrs),Gurgaon
Credit underwriting,Data Science,Mid Level (3-5 Yrs),Gurgaon
Legal documentation,Data Science,Mid Level (3-5 Yrs),Gurgaon
Credit risk,Data Science,Mid Level (3-5 Yrs),Gurgaon
Sales,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Mortgage,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
MISProcess improvement,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
