skill,role_type,exp_category,primary_location
Vista,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Data management,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Billing,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Manager Technology,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Equity,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Resource management,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Product management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Artificial Intelligence,Data Analytics,Mid Level (3-5 Yrs),Bangalore
System integration,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Machine Learning,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Scrum,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Visio,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Excel,Data Analytics,Mid Level (3-5 Yrs),Pune
Project Management,Data Analytics,Mid Level (3-5 Yrs),Pune
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Pune
Demand forecastingmicrosoft,Data Analytics,Mid Level (3-5 Yrs),Pune
JIRAReporting tools,Data Analytics,Mid Level (3-5 Yrs),Pune
CRM,Data Analytics,Mid Level (3-5 Yrs),Pune
Business objects,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
SAPData modeling,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Intelligence Analystpower bi,Data Analytics,Junior (1-2 Yrs),Bangalore
Business intelligence,Data Analytics,Junior (1-2 Yrs),Bangalore
Data warehousing,Data Analytics,Junior (1-2 Yrs),Bangalore
Process automation,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Change management,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Standard operating procedures,Data Analytics,Junior (1-2 Yrs),Bangalore
Training and Development,Data Analytics,Junior (1-2 Yrs),Bangalore
MS Office,Data Analytics,Junior (1-2 Yrs),Bangalore
Telecom,Data Analytics,Junior (1-2 Yrs),Bangalore
Data migration,Data Analytics,Junior (1-2 Yrs),Bangalore
Web analytics,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Bfsi,Data Analytics,Junior (1-2 Yrs),Bangalore
Social media,Data Analytics,Junior (1-2 Yrs),Bangalore
Consulting,Data Analytics,Junior (1-2 Yrs),Bangalore
Business intelligence,Data Analytics,Junior (1-2 Yrs),Bangalore
Business process,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Technical Architect,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Usage,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Agile,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Scrum,Data Analytics,Mid Level (3-5 Yrs),Bangalore
MS Office,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Cost benefit analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
developmentanalyticalbusiness processdocumentsenglishbusiness analysisproblem solvingtracking,Data Analytics,Junior (1-2 Yrs),Pune
Procurement,Data Analytics,Junior (1-2 Yrs),Bangalore
BPOCareer development,Data Analytics,Junior (1-2 Yrs),Bangalore
SAPBusiness Analyst,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Cost reduction,Data Analytics,Junior (1-2 Yrs),Bangalore
Social networking,Data Analytics,Junior (1-2 Yrs),Bangalore
Hibernate,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Bss,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Production support,Data Analytics,Mid Level (3-5 Yrs),Bangalore
XMLEclipse,Data Analytics,Mid Level (3-5 Yrs),Bangalore
SQLHTMLPerl,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Printing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Typesetting,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Training,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Report generation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Architect,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Change management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
UATE-commerce,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Manager Quality Control,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Time management,Data Analytics,Senior (6-10 Yrs),Bangalore
Project Management,Data Analytics,Senior (6-10 Yrs),Bangalore
Data Analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Microsoft applications,Data Analytics,Senior (6-10 Yrs),Bangalore
Leadership training,Data Analytics,Senior (6-10 Yrs),Bangalore
Product management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Analytical skills,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Manager Quality Assurance,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analysttechnical publication,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Workflow,Data Analytics,Mid Level (3-5 Yrs),Bangalore
UPSQuality documentation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
JSONUse Cases,Data Analytics,Senior (6-10 Yrs),Bangalore
Data Flow,Data Analytics,Senior (6-10 Yrs),Bangalore
Flow,Data Analytics,Senior (6-10 Yrs),Bangalore
Usage,Data Analytics,Senior (6-10 Yrs),Bangalore
Case,Data Analytics,Senior (6-10 Yrs),Bangalore
Business Analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
E-commerce,Data Analytics,Junior (1-2 Yrs),Bangalore
Business intelligence,Data Analytics,Junior (1-2 Yrs),Bangalore
Data mining,Data Analytics,Junior (1-2 Yrs),Bangalore
Oracle,Data Analytics,Junior (1-2 Yrs),Bangalore
Digital marketing,Data Analytics,Junior (1-2 Yrs),Bangalore
SEOAnalytics,Data Analytics,Junior (1-2 Yrs),Bangalore
Analytical skills,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Retail,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Excel,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business analysisconsumer goods,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
SQL,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Mumbai
US healthcare,Data Analytics,Junior (1-2 Yrs),Mumbai
Healthcare,Data Analytics,Junior (1-2 Yrs),Mumbai
Wireless,Data Analytics,Mid Level (3-5 Yrs),Chennai
Telecom3GRFSOCNetwork operations,Data Analytics,Mid Level (3-5 Yrs),Chennai
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Chennai
Network planning,Data Analytics,Mid Level (3-5 Yrs),Chennai
Stakeholder Engagement,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Strategy implementation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project Management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business plan development,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Research,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Research Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
SANHead Business Development,Data Analytics,Junior (1-2 Yrs),Pune
SOCTrend analysis,Data Analytics,Junior (1-2 Yrs),Pune
SMSVendor,Data Analytics,Junior (1-2 Yrs),Pune
Monitoring,Data Analytics,Junior (1-2 Yrs),Pune
Telecom,Data Analytics,Junior (1-2 Yrs),Bangalore
Manager Quality Assurance,Data Analytics,Junior (1-2 Yrs),Bangalore
FTPBusiness analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
UMLXMLBillingtelecom bss,Data Analytics,Junior (1-2 Yrs),Bangalore
Google Analytics,Other,Mid Level (3-5 Yrs),Bangalore
Data collection,Other,Mid Level (3-5 Yrs),Bangalore
Data quality,Other,Mid Level (3-5 Yrs),Bangalore
SDKSEOSQLAndroid,Other,Mid Level (3-5 Yrs),Bangalore
agriculturedevelopmentbiotechnologyms office toolsenglishanalystindustrymarket research,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Training,Data Analytics,Mid Level (3-5 Yrs),Bangalore
ERPSAP FICOSAPBusiness Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Billing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Manager Technology,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Deployment,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data migration,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project implementation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Sales,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Cloud,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Workflow,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Account management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project planning,Data Analytics,Mid Level (3-5 Yrs),Bangalore
SOW,Data Analytics,Mid Level (3-5 Yrs),Bangalore
development,Data Analytics,Senior (6-10 Yrs),Bangalore
Excellentbusinessanalytical,Data Analytics,Senior (6-10 Yrs),Bangalore
Skills,Data Analytics,Senior (6-10 Yrs),Bangalore
Pre-salesrelationship,Data Analytics,Senior (6-10 Yrs),Bangalore
Good,Data Analytics,Senior (6-10 Yrs),Bangalore
System testing,Data Analytics,Mid Level (3-5 Yrs),Kochi/Cochin
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Kochi/Cochin
Functional testing,Data Analytics,Mid Level (3-5 Yrs),Kochi/Cochin
Test managementdevops,Data Analytics,Mid Level (3-5 Yrs),Kochi/Cochin
Agile,Data Analytics,Mid Level (3-5 Yrs),Kochi/Cochin
Test planning,Data Analytics,Mid Level (3-5 Yrs),Kochi/Cochin
Internet technologies,Data Analytics,Mid Level (3-5 Yrs),Bangalore
ERPBusiness Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Test management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
E-commercebusiness rules,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Consultancy,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Software testing,Data Analytics,Senior (6-10 Yrs),Bangalore
Business Analystfinancial products,Data Analytics,Senior (6-10 Yrs),Bangalore
Programming,Data Analytics,Senior (6-10 Yrs),Bangalore
Content writing,Data Analytics,Senior (6-10 Yrs),Bangalore
Technical Analyst,Data Analytics,Senior (6-10 Yrs),Bangalore
Stock market,Data Analytics,Senior (6-10 Yrs),Bangalore
Application software,Data Analytics,Senior (6-10 Yrs),Bangalore
Business processmetadata,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data modeling,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Hyperion,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Stored procedures,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Budgeting,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Outbound,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Sales,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Brand awareness,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Training management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Monitoring,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Awareness,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Training,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Database,Data Analytics,Mid Level (3-5 Yrs),Indore
Agile methodologydbmsbusiness analysisagile,Data Analytics,Mid Level (3-5 Yrs),Indore
Usage,Data Analytics,Senior (6-10 Yrs),Bangalore
Analyticsbusiness analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Junior Staff,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project Management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Leadership training,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Production,Data Analytics,Mid Level (3-5 Yrs),Bangalore
User acceptance testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Cost,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Manager MISmanagementmis developmentassistancebusiness analysismis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
developmentbiotechnologyms office toolsenglishresearchinganalystindustrymarket research,Data Analytics,Junior (1-2 Yrs),Bangalore
Automation,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Manager Technology,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Managementbanking products,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Business case,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Monitoring,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Testing,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Client development,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Web application development,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analystdevelopment testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Effort estimation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
UATPresales,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Cost,Data Analytics,Mid Level (3-5 Yrs),Bangalore
IT services,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Quality standards,Data Analytics,Mid Level (3-5 Yrs),Bangalore
QTcrm analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business intelligence,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Qualitative,Data Analytics,Mid Level (3-5 Yrs),Bangalore
CRM,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Payroll,Data Analytics,Junior (1-2 Yrs),Bangalore
Manual testing,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Project documentation,Data Analytics,Junior (1-2 Yrs),Bangalore
Project Management,Data Analytics,Junior (1-2 Yrs),Bangalore
MISBusiness Executive,Data Analytics,Junior (1-2 Yrs),Bangalore
PDFBusiness Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project Management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Manager Technology,Data Analytics,Mid Level (3-5 Yrs),Bangalore
User acceptance testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Monitoringmanagement,Data Analytics,Mid Level (3-5 Yrs),Bangalore
onshorerequirementsanalyticalbusiness processdocumentssprint planningscrumagile,Data Analytics,Junior (1-2 Yrs),Bangalore
Trade,Other,Senior (6-10 Yrs),Bangalore
Agile scrum,Other,Senior (6-10 Yrs),Bangalore
Business Analysis,Other,Senior (6-10 Yrs),Bangalore
Finance,Other,Senior (6-10 Yrs),Bangalore
Gap analysis,Other,Senior (6-10 Yrs),Bangalore
Investment banking,Other,Senior (6-10 Yrs),Bangalore
Capital market,Other,Senior (6-10 Yrs),Bangalore
Analytical skills,Data Analytics,Senior (6-10 Yrs),Bangalore
Excel,Data Analytics,Senior (6-10 Yrs),Bangalore
Time management,Data Analytics,Senior (6-10 Yrs),Bangalore
Data Analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Microsoft applications,Data Analytics,Senior (6-10 Yrs),Bangalore
Project Management,Data Analytics,Senior (6-10 Yrs),Bangalore
MS Office tools,Data Analytics,Senior (6-10 Yrs),Bangalore
Excel,Data Analytics,Senior (6-10 Yrs),Bangalore
Talent acquisition,Data Analytics,Senior (6-10 Yrs),Bangalore
Data Analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Risk Analyst,Data Analytics,Senior (6-10 Yrs),Bangalore
Data collection,Data Analytics,Senior (6-10 Yrs),Bangalore
Agile,Data Analytics,Senior (6-10 Yrs),Bangalore
Document management,Data Analytics,Senior (6-10 Yrs),Bangalore
Risk management,Data Analytics,Senior (6-10 Yrs),Bangalore
Manual testing,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Test scripts,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Testing tools,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Integration testing,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Performance testing,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Security testing,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Test scenarios,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Regression testing,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
System architecture,Data Analytics,Senior (6-10 Yrs),Chennai
Change management,Data Analytics,Senior (6-10 Yrs),Chennai
Forex,Data Analytics,Senior (6-10 Yrs),Chennai
FTPAgile,Data Analytics,Senior (6-10 Yrs),Chennai
Data qualitydata mapping,Data Analytics,Senior (6-10 Yrs),Chennai
Oracle,Data Analytics,Senior (6-10 Yrs),Chennai
Analytical skills,Data Analytics,Junior (1-2 Yrs),Bangalore
Patent Analyst,Data Analytics,Junior (1-2 Yrs),Bangalore
Manager Technology,Data Analytics,Junior (1-2 Yrs),Bangalore
Electronics,Data Analytics,Junior (1-2 Yrs),Bangalore
Patent analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Technology,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Loans,Data Analytics,Junior (1-2 Yrs),Bangalore
Project Management,Data Analytics,Junior (1-2 Yrs),Bangalore
Transfer pricing,Data Analytics,Junior (1-2 Yrs),Bangalore
Fund administration,Data Analytics,Junior (1-2 Yrs),Bangalore
Legal documentation,Data Analytics,Junior (1-2 Yrs),Bangalore
Test cases,Data Analytics,Junior (1-2 Yrs),Bangalore
Operations,Data Analytics,Junior (1-2 Yrs),Bangalore
Financial services,Data Analytics,Junior (1-2 Yrs),Bangalore
VBABusiness Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Brd,Data Analytics,Junior (1-2 Yrs),Bangalore
Requirement Gathering,Data Analytics,Junior (1-2 Yrs),Bangalore
FRDAnalysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Requirements,Data Analytics,Junior (1-2 Yrs),Bangalore
Conflict resolution,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Manager Technology,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Market researchmarketingresearchtechnologyanalysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project Management,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
VISIOHealthcare,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Workflow,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
HTMLProduct management,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Business solutions,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Business process management,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Client management,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
HRMSERPSupply chain management,Data Analytics,Senior (6-10 Yrs),Bangalore
Typing,Data Analytics,Senior (6-10 Yrs),Bangalore
Education,Data Analytics,Senior (6-10 Yrs),Bangalore
Gap analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Client interaction,Data Analytics,Senior (6-10 Yrs),Bangalore
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
XMLAnalytical,Data Analytics,Mid Level (3-5 Yrs),Bangalore
PAASAgile,Data Analytics,Mid Level (3-5 Yrs),Bangalore
JSONJIRABusiness Technical Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
IT services,Data Analytics,Senior (6-10 Yrs),Bangalore
Change management,Data Analytics,Senior (6-10 Yrs),Bangalore
CMMIHealthcare,Data Analytics,Senior (6-10 Yrs),Bangalore
Gap analysis,Data Analytics,Senior (6-10 Yrs),Bangalore
Visio,Data Analytics,Senior (6-10 Yrs),Bangalore
User acceptance testing,Data Analytics,Senior (6-10 Yrs),Bangalore
Operations,Data Analytics,Senior (6-10 Yrs),Bangalore
Requirement Gathering,Data Analytics,Junior (1-2 Yrs),Bangalore
Implementation,Data Analytics,Junior (1-2 Yrs),Bangalore
Communication,Data Analytics,Junior (1-2 Yrs),Bangalore
Client Coordination,Data Analytics,Junior (1-2 Yrs),Bangalore
Project Management,Data Analytics,Junior (1-2 Yrs),Bangalore
User Stories,Data Analytics,Junior (1-2 Yrs),Bangalore
MOMSDLC,Data Analytics,Junior (1-2 Yrs),Bangalore
Procurement,Data Analytics,Senior (6-10 Yrs),Indore
Business process,Data Analytics,Senior (6-10 Yrs),Indore
SAPAnalytical,Data Analytics,Senior (6-10 Yrs),Indore
Information management,Data Analytics,Senior (6-10 Yrs),Indore
Continuous improvement,Data Analytics,Senior (6-10 Yrs),Indore
Data Analysis,Data Analytics,Senior (6-10 Yrs),Indore
SDLC,Data Analytics,Senior (6-10 Yrs),Indore
Interpersonal skills,Data Analytics,Junior (1-2 Yrs),Bangalore
Client satisfaction,Data Analytics,Junior (1-2 Yrs),Bangalore
SAPBusiness Analyst,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Strategic partnerships,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
JIRA,Data Analytics,Junior (1-2 Yrs),Bangalore
Cloud,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Perl,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Ruby,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Python,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Scriptingbusiness analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business process,Data Analytics,Senior (6-10 Yrs),Bangalore
Business administration,Data Analytics,Senior (6-10 Yrs),Bangalore
IT Business Analyst,Data Analytics,Senior (6-10 Yrs),Bangalore
Application support,Data Analytics,Senior (6-10 Yrs),Bangalore
Test scripts,Data Analytics,Senior (6-10 Yrs),Bangalore
Informatica,Data Analytics,Senior (6-10 Yrs),Bangalore
Customer service,Data Analytics,Senior (6-10 Yrs),Bangalore
JIRA,Data Analytics,Senior (6-10 Yrs),Bangalore
Billing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Agile,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Database,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Vendor,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Information technology,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Asaptechnology,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Training delivery,Data Analytics,Junior (1-2 Yrs),Bangalore
Business administration,Data Analytics,Junior (1-2 Yrs),Bangalore
Change management,Data Analytics,Junior (1-2 Yrs),Bangalore
Interpersonal skills,Data Analytics,Junior (1-2 Yrs),Bangalore
Business Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Project Management,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
IT services,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
ISOBusiness Analyst,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
RADBusiness analysis,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Agile,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Programming,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Healthcare,Data Analytics,Mid Level (3-5 Yrs),Bangalore
User acceptance testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Usage,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
User acceptance,Data Analytics,Mid Level (3-5 Yrs),Bangalore
GUI testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Software testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
SAS Analyst,Data Analytics,Junior (1-2 Yrs),Chennai
Production support,Data Analytics,Junior (1-2 Yrs),Chennai
SASAgile,Data Analytics,Junior (1-2 Yrs),Chennai
Informatica,Data Analytics,Junior (1-2 Yrs),Chennai
Teradata,Data Analytics,Junior (1-2 Yrs),Chennai
Business intelligence,Data Analytics,Junior (1-2 Yrs),Chennai
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Software project,Data Analytics,Senior (6-10 Yrs),Chennai
Manager Quality Assurance,Data Analytics,Senior (6-10 Yrs),Chennai
Consulting,Data Analytics,Senior (6-10 Yrs),Chennai
Software development life cycle,Data Analytics,Senior (6-10 Yrs),Chennai
Design development,Data Analytics,Senior (6-10 Yrs),Chennai
Business process analysis,Data Analytics,Senior (6-10 Yrs),Chennai
Subject matter expertise,Data Analytics,Senior (6-10 Yrs),Chennai
Testing,Data Analytics,Senior (6-10 Yrs),Chennai
Manager Quality Assurancebusiness case development,Data Analytics,Mid Level (3-5 Yrs),Bangalore
MS Office tools,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project planning,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Operations Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Document management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Cost benefit analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Engineering services,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Practice Lead,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Networking,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Senior Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Intellectual property,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Relationship,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Strategic sourcing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Agile,Data Analytics,Mid Level (3-5 Yrs),Bangalore
remediation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business Analystqlik sense,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project Management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Agile,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Credit risk,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Risk management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Business intelligence,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Training,Data Analytics,Junior (1-2 Yrs),Bangalore
Loans,Data Analytics,Junior (1-2 Yrs),Bangalore
Banking,Data Analytics,Junior (1-2 Yrs),Bangalore
Credit analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
SQLcreditanalysts,Data Analytics,Junior (1-2 Yrs),Bangalore
Client development,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Web application development,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Salesdevelopment testing,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Effort estimation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
UATPresales,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Engineering management,Data Analytics,Senior (6-10 Yrs),Bangalore
Social media,Data Analytics,Senior (6-10 Yrs),Bangalore
Media research,Data Analytics,Senior (6-10 Yrs),Bangalore
Market research,Data Analytics,Senior (6-10 Yrs),Bangalore
Commerce,Data Analytics,Senior (6-10 Yrs),Bangalore
Routing,Data Analytics,Senior (6-10 Yrs),Bangalore
