Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
Data Scientist,Diverse Lynx,2-6 Yrs,25-27.5 Lacs PA,"Hyderabad/Secunderabad(Jubilee Hills), Chennai",IT servicesText miningData analysisdata scienceRFSimulationData miningLicensing,Data Science,Hyderabad(Jubilee Hills),2,6,Junior (1-2 Yrs),Disclosed
Senior Data Scientist,EVRY India,9-13 Yrs,Not disclosed,Bangalore/Bengaluru,IT servicesText miningData analysisdata scienceRFSimulationData miningLicensing,Data Science,Bangalore,9,13,Senior (6-10 Yrs),Not Disclosed
Data Scientist,Ageye Technologies,9-14 Yrs,Not disclosed,Bangalore/Bengaluru,IT servicesText miningData analysisRFSimulationNetwork analysisData miningLicensing,Data Science,Bangalore,9,14,Senior (6-10 Yrs),Not Disclosed
Job Opening For Data Scientist Role IN MNC For Pune Location.,Peoplefy Infosolutions,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data modelingCloud ServicesProgrammingData analyticsData warehousingAnalyticsSQLPython,Data Science,Bangalore,4,8,Mid Level (3-5 Yrs),Not Disclosed
Junior Data Scientist | GeakMinds | Chennai,Geak Minds,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,data manipulationProgrammingData analyticsData warehousingSQLPythonWarehouseData,Data Science,Bangalore,2,4,Junior (1-2 Yrs),Not Disclosed
NLP Data Scientist,Heaps Health Solutions India,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,T-SQLSSASData ArchitectData analyticsSSISData warehousingWarehouseData,Data Science,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
Data Scientist,Head Infotech India,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical skillsCluster analysisdeep learningStatistical modelingTime series analysisAnalyticalProgrammingData mining,Data Science,Bangalore,2,6,Junior (1-2 Yrs),Not Disclosed
Data Scientist,Indium Software,6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,UnixComputer scienceData analysisLinuxProject managementAnalyticalMachine learningScheduling,Data Science,Hyderabad,6,10,Senior (6-10 Yrs),Not Disclosed
Data Scientist Machine Learning - Immediate Joiner,Niftel Communications,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,UnixData analysisLinuxProject managementAnalyticalMachine learningSchedulingMonitoring,Data Science,Bangalore,8,13,Senior (6-10 Yrs),Not Disclosed
Full Stack Data Scientist,Aganitha Cognitive Solutions,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",SLMNatural Language Processinglarge language modelsDeep LearningPythonTensorflowPytorchnamed entity recognition,Data Science,Kolkata,1,5,Junior (1-2 Yrs),Not Disclosed
Data Scientist,AIE Group,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,NoSQLcassandraCloud ServicesWorkflow managementMongoDBData analyticsDBMSOracle,Data Science,Bangalore,3,8,Mid Level (3-5 Yrs),Not Disclosed
Data Scientist,Pegasus Knowledge Solutions (PKSI),5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Performance tuningData analysisTeam managementData modelingRDBMSHTMLBusiness intelligenceAnalytics,Data Science,Bangalore,5,7,Mid Level (3-5 Yrs),Not Disclosed
Data Scientist,Reflections Info Systems,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,orchestrationsparkInfrastructureProgrammingData processingData analyticsEntrepreneurAWS,Data Science,Bangalore,8,10,Senior (6-10 Yrs),Not Disclosed
Data Scientist,Skillety,6-8 Yrs,Not disclosed,Pune,Data analysisNoSQLData modelingReverse engineeringArchitectural designManagement consultingSQLData architecture,Data Science,Pune,6,8,Senior (6-10 Yrs),Not Disclosed
Data Scientist,Hakimo,4-9 Yrs,Not disclosed,"Noida, Uttar Pradesh",Data analysisData modelingDatabase designData ArchitectArchivingBusiness intelligenceProject deliverySQL,Data Science,Noida,4,9,Mid Level (3-5 Yrs),Not Disclosed
Analyst - Internal Audit (Risk Advisory),KPMG Global Services Private Limited,6-8 Yrs,7-14 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data analysisSASPharmaReconciliationClinical researchManager Quality ControlBusiness intelligenceOperations,Data Analytics,Kolkata,6,8,Senior (6-10 Yrs),Disclosed
Staff Data Scientist,Service Now Planet,12-15 Yrs,Not disclosed,"Gurgaon, Bengaluru",Business processData analysisManager Quality AssuranceFinancial reportingFinanceProject managementFinancial servicesMonitoring,Data Science,Gurgaon,12,15,Expert (10+ Yrs),Not Disclosed
Data Scientist,Gforce Consulting Solutions,8-10 Yrs,Not disclosed,"Allahabad/Prayagraj, Varanasi/Benaras, Ghaziabad, Kanpur, Lucknow, Agra",Data analysisData modelingProject managementAnalyticalquerypower biData qualityData extraction,Data Science,Allahabad/Prayagraj,8,10,Senior (6-10 Yrs),Not Disclosed
Macro Research Analyst,Binance,6-8 Yrs,Not disclosed,Gurgaon/Gurugram,SAS DI StudioSAS EnterpriseSAS 919293data analysisdata managementconfiguration,Data Analytics,Gurgaon,6,8,Senior (6-10 Yrs),Not Disclosed
Data Scientist,GRENOSEARCH,0-2 Yrs,Not disclosed,"Noida, Uttar Pradesh, Gurgaon/ Gurugram, Haryana, Delhi / NCR",data managementSASSAS DI StudioSAS Enterprise GuideETL processBI platformsData Analysisdata structures,Data Science,Noida,0,2,Fresher (0 Yrs),Not Disclosed
Corporate Finance Analyst,Clayworks,2-9 Yrs,18-25 Lacs PA,Gurgaon/Gurugram,Advanced ExcelAdministrationDatabase AdministrationDatabase ManagementData ManagementData AnalysisData ExtractionData Processing,Data Analytics,Gurgaon,2,9,Junior (1-2 Yrs),Disclosed
Data Scientist,Braintosoul Consulting,3-5 Yrs,Not disclosed,Mumbai,AutomationData analysisData structuresTechnical supportSQLdata warehouseData managementSAS 2 SAS DI Studio,Data Science,Mumbai,3,5,Mid Level (3-5 Yrs),Not Disclosed
Data Scientist,Citylink Technology Solutions,12-20 Yrs,Not disclosed,Pune,Data analysisData structuresTechnical supportSQLdata warehouseData managementSAS 2 SAS DI StudioSAS DI studio,Data Science,Pune,12,20,Expert (10+ Yrs),Not Disclosed
Data Scientist/Data Engineer (AL+ML+Python),Vinove Software,4-9 Yrs,Unpaid,Hyderabad/Secunderabad,AutomationCodingData structuresTechnical supportSQLData analysisData managementETL,Data Science,Hyderabad,4,9,Mid Level (3-5 Yrs),Disclosed
Senior People Technology Analyst,Coursera,8-16 Yrs,Not disclosed,Bahadurgarh,AutomationCodingData structuresTechnical supportSQLData analysisData managementSAS 2 SAS DI Studio,Data Analytics,Bahadurgarh,8,16,Senior (6-10 Yrs),Not Disclosed
Product Analyst,Blackbuck,3-8 Yrs,Not disclosed,"Manesar, Haryana",Data SciencePower BiProgramming languageTableauProgramProgrammingDataLanguages,Data Analytics,Manesar,3,8,Mid Level (3-5 Yrs),Not Disclosed
Data Scientist,Diverse Lynx,2-7 Yrs,Not disclosed,"Mumbai, Pune",tableaudata manipulationData ArchitectCREData AnalystBusiness solutionsMacrosSQL,Data Science,Mumbai,2,7,Junior (1-2 Yrs),Not Disclosed
Associate - Data Scientist,NEDO Placements Consultancy,4-9 Yrs,Not disclosed,Mumbai (All Areas),Data analysisManager Quality AssuranceData managementData modelingAnalyticalData qualityInformaticaRisk management,Data Science,Mumbai (All Areas),4,9,Mid Level (3-5 Yrs),Not Disclosed
Business Development Manager - B2B sales - Data Science/AIML,Brainsearch Consulting,2-4 Yrs,35-45 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Electrical engineeringComputer vision3DNeural networksMachine learningAgileProgrammingData processing,Data Science,Kolkata,2,4,Junior (1-2 Yrs),Disclosed
Data Scientist : Financial Services,Dev Solutions,4-8 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore/Bengaluru, Delhi / NCR",Corporate trainingC++data servicesdata scienceMachine learningHR ProfessionalArchitectingbig data,Data Science,Hybrid - Pune,4,8,Mid Level (3-5 Yrs),Not Disclosed
"Vice President, Business Intelligence",Visible Alpha,2-7 Yrs,Not disclosed,Pune,Product managementAutomationData analysisData managementData modelingCodingSSISmicrosoft,Other,Pune,2,7,Junior (1-2 Yrs),Not Disclosed
Data Science Intern,Tridiagonal Solutions,1-4 Yrs,Not disclosed,Mumbai,CelonisData VisualizationPSQLETLSQLERP SystemProcess MiningMySQL,Data Science,Mumbai,1,4,Junior (1-2 Yrs),Not Disclosed
"Data Science Engineer, SMAI",Micron Software,7-10 Yrs,Not disclosed,Jaipur,ETLDevopsPythonDockerAzure CloudAWSMicrosoft AzureEngineering,Data Science,Jaipur,7,10,Senior (6-10 Yrs),Not Disclosed
Data Specialist,Agenty,4-7 Yrs,Not disclosed,Hyderabad/Secunderabad,System testingData analysisData migrationManager Quality AssuranceData managementCodingInformaticaMS Office,Other,Hyderabad,4,7,Mid Level (3-5 Yrs),Not Disclosed
Sales Data Specialist,Forza Medi,3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Computer scienceStatistical analysisApplication managementdata scienceConsultingMachine learningHealthcarehealthcare analytics,Other,Hyderabad,3,5,Mid Level (3-5 Yrs),Not Disclosed
Analyst - People Analytics,Etraveli,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisData managementdevopsData ArchitectData qualitySQLPythonArchitecture,Data Analytics,Hyderabad,2,5,Junior (1-2 Yrs),Not Disclosed
Senior Manager - Data Science | 6-8 Years| Mumbai,Xtage Technologies,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceData analysisInterpersonal skillsExcelsparkAnalyticalMySQLbig data,Data Science,Bangalore,3,8,Mid Level (3-5 Yrs),Not Disclosed
"Senior Data Engineer (HANA, ETL)",Luxoft,0-5 Yrs,Not disclosed,Bangalore/Bengaluru,data scienceData modelingModelingDataScience,Other,Bangalore,0,5,Fresher (0 Yrs),Not Disclosed
Director of Data Engineering & AI - Pune/Bangalore/Delhi/Mumbai/Noida,Teqfocus Solutions Pvt Ltd,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical skillsUnit operationsStaffingNeural networksMachine learningApplication developmentMS OfficeSQL,Other,Bangalore,2,7,Junior (1-2 Yrs),Not Disclosed
Data Science Engineer,Copeland,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Analytical skillsData analysisCloudInfrastructurepower biTroubleshootingData warehousingAWS,Data Science,Kolkata,5,8,Mid Level (3-5 Yrs),Not Disclosed
Associate Vice President - Data Science,LogiNext,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data Managementdata modellingMySQLData AnalysisMIS GenerationData Collectiondata administrationMIS Reporting,Data Science,Bangalore,4,6,Mid Level (3-5 Yrs),Not Disclosed
Specialist - Data/IT and AI,the Ballothouse Uk India,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,ETLDevopsData EngineeringAzure DevopsMicrosoft AzureEngineeringData,Other,Bangalore,3,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science Manager,Technovert,0-3 Yrs,Not disclosed,"Pune, Maharashtra(Kalyani Nagar)",Computer scienceProcess monitoringdata scienceGCPDatastageData collectionbig dataANSI,Data Science,Pune,0,3,Fresher (0 Yrs),Not Disclosed
Data Science Manager,Technovert,3-6 Yrs,18-30 Lacs PA,Jaipur,Data Sciencefresherpythonpython developerDjangoScipyHTMLMATLAB,Data Science,Jaipur,3,6,Mid Level (3-5 Yrs),Disclosed
Data Science Manager,Talent Socio,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Sales/Marketing/Customer ServiceSalesDataCustomer serviceSeniorMaster dataMarketing,Data Science,Kolkata,5,10,Mid Level (3-5 Yrs),Not Disclosed
Senior Azure Data Engineer (BL),Tarento Technologies,8-9 Yrs,Not disclosed,Remote,Data AnalyticsAdvanced AnalyticsData AnalysisData MiningAnalyticsAnalysisDataAnalytical,Other,Remote,8,9,Senior (6-10 Yrs),Not Disclosed
Python Data Engineer (BL),Tarento Technologies,1-8 Yrs,Not disclosed,"Kolkata, Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Data ScienceArtificial IntelligenceAimlBig DataMachine LearningNatural Language ProcessingStatistical ModelingData Analytics,Other,Kolkata,1,8,Junior (1-2 Yrs),Not Disclosed
Data Architect - ATOS,Tarento Technologies,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",MS SQL ServerData VisualizationTableauETLBusiness IntelligenceAdvanced AnalyticsData ModelingData Warehousing,Other,Kolkata,0,2,Fresher (0 Yrs),Not Disclosed
Data Science + Strong NLP + Cloud,Response Informatics,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Financial AnalysisExcelFinancial Statement AnalysisBalance Sheet AnalysisRatio AnalysisAnalysisBalance SheetFinance,Data Science,Kolkata,3,5,Mid Level (3-5 Yrs),Not Disclosed
Staff Data Engineer - ML Ops,Visa Inc,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data AnalysisBusiness AnalysisManagement ReportingBusiness ReportingReport PreparationAdvanced ExcelMIS ReportingData Reporting,Other,Bangalore,4,8,Mid Level (3-5 Yrs),Not Disclosed
Staff Data Engineer,Visa Inc,1-2 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",database analysisinnovationsimulinkdata analyticssoftware developmentanalyticalspicepresentation skills,Other,Mumbai,1,2,Junior (1-2 Yrs),Not Disclosed
Data Science Engineer,Phonologies,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisClaimsData managementProject managementUnderwritingAsset managementAnalyticsFinancial services,Data Science,Bangalore,3,6,Mid Level (3-5 Yrs),Not Disclosed
Data Engineers,Disha Consultants,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Business processConsumer financeSSRSdata governanceManager TechnologyInformaticaTest casesUser acceptance testing,Other,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
Data Modeller,Edgematics,2-6 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",BPOData analysisSASConsultingHealthcareData miningAnalyticsFinancial services,Other,Bangalore/ Bangalore,2,6,Junior (1-2 Yrs),Not Disclosed
Senior Data Engineer,Orange Quarter,2-5 Yrs,6-6.5 Lacs PA,Bangalore/Bengaluru,Process TrainingBehavioral TrainingProduct KnowledgeStrong communication skills.Business analysisDataProcessCommunication skills,Other,Bangalore,2,5,Junior (1-2 Yrs),Disclosed
Data Modeler Consultant/Senior Consultant,Techsist Solution,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Client OnboardingReference DataBusiness analystBrdRequirement GatheringClient verificationUser StoriesTrade Life Cycle,Other,Bangalore,3,8,Mid Level (3-5 Yrs),Not Disclosed
Data Architect,Retisio,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,elixirDjangoIntranetArtificial IntelligenceWeb developmentMachine learningSCALAOpen source,Other,Bangalore,0,2,Fresher (0 Yrs),Not Disclosed
Clinical Data Programmer III SAS,Novotech,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisERPData modelingInformation securityAnalyticalData qualitydata privacyCorporate security,Other,Bangalore,0,3,Fresher (0 Yrs),Not Disclosed
Manager- Finance Data Governance,AMERICAN EXPRESS,8-13 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Interpersonal skillsBusiness AnalystConflict resolutionBusiness Data AnalystReconciliationTransfer pricingdata privacyTaxation,Other,Bangalore/ Bangalore,8,13,Senior (6-10 Yrs),Not Disclosed
Data Engineer (Power BI),Neal Analytics,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Statistical programmingCodingArtificial IntelligenceMachine learningNatural language processingData analyticsForecastingSQL,Other,Kolkata,6,8,Senior (6-10 Yrs),Not Disclosed
SAS Data Integration Technology Platform Engineer,Accenture,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Business processSupply chainIT servicesBusiness servicesagribusinessbig data analyticsProcess improvementFunctional testing,Other,Kolkata,1,3,Junior (1-2 Yrs),Not Disclosed
SAS Data Integration Technology Platform Engineer,Accenture,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Business processQABusiness AnalystProject managementData analyticsMS OfficeQuality assuranceBusiness analysis,Other,Kolkata,1,4,Junior (1-2 Yrs),Not Disclosed
Data Administrator (MIS+Admin role & & Offrole Position),Randstad,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data analysisInterpersonal skillsBusiness AnalystBusiness analysisTime managementAnalyticalProcess improvementAgile,Other,Kolkata,1,3,Junior (1-2 Yrs),Not Disclosed
SAS Data Integration Technology Platform Engineer,Accenture,8-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Product managementData analysisUsageBusiness AnalystProject managementAnalyticalMarket researchManagement,Other,Kolkata,8,15,Senior (6-10 Yrs),Not Disclosed
SAS Data Integration Technology Platform Engineer,Accenture,0-4 Yrs,Not disclosed,"Noida, Uttar Pradesh, Hyderabad/Secunderabad, Mumbai (All Areas)",Life SciencesUXUIBusiness AnalysisScienceAnalysis,Other,Noida,0,4,Fresher (0 Yrs),Not Disclosed
SAS Data Integration Technology Platform Engineer,Accenture,0-3 Yrs,Not disclosed,"New Delhi, Delhi",Sterling OMSBusiness Process DocumentationConfluenceSystem AnalystJIRAIBM Sterling OMSBusiness analysisDocumentation,Other,Delhi,0,3,Fresher (0 Yrs),Not Disclosed
SAS Data Integration Technology Platform Engineer,Accenture,4-7 Yrs,8-18 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Analytical skillsData analysisExcelBusiness AnalystManager TechnologymicrosoftJIRAPowerpoint,Other,Kolkata,4,7,Mid Level (3-5 Yrs),Disclosed
Data Science with Tableau & Power Bi For Bangalore Location,Skills Bridge India,4-6 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",MS ExcelData AnalysisBusiness AnalysisCommunication SkillsTechnology BackgroundAnalysisMicrosoftData,Data Science,Noida,4,6,Mid Level (3-5 Yrs),Not Disclosed
Data Architect,Coders Brain Pvt Ltd,6-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",AutomationData validationExcelSSRSDebuggingpower biContinuous improvementSSIS,Other,Kolkata,6,15,Senior (6-10 Yrs),Not Disclosed
Data Engineer,Danske IT Support Services India Pvt Ltd.,1-4 Yrs,Not disclosed,"Gurgaon, Bengaluru",Project developmentMatrixProduction supportBusiness AnalystComplianceMentorsoftware qualitySLAS,Other,Gurgaon,1,4,Junior (1-2 Yrs),Not Disclosed
Data Science Architect,Response Informatics,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data analysisBusiness AnalystDataBusiness analysisAnalysis,Data Science,Kolkata,3,8,Mid Level (3-5 Yrs),Not Disclosed
Senior Data Engineer,Corporate Steps,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Product managementData analysisFinancial analysisCompetitive analysisProject managementProcess improvementAnalyticalMarket research,Other,Kolkata,0,2,Fresher (0 Yrs),Not Disclosed
Data Pipeline Engineer,Coders Brain Pvt Ltd,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Root cause analysisSQL queriesProduct engineeringAnalyticalProblem managementData analyticsBusiness intelligenceTechnical support,Other,Kolkata,0,2,Fresher (0 Yrs),Not Disclosed
"Data Engineer(SQL, PSQL, ETL, Celonis)",Tech Mahindra,0-1 Yrs,Not disclosed,New Delhi,Field operationsFinancial statementsBusiness AnalystFinancial analysisMS Office toolsCustomer serviceSubject matter expertiseAutomotive,Other,Delhi,0,1,Fresher (0 Yrs),Not Disclosed
Job Title: R&D Engineer - Data Engineering and Ops (MLOps & DevOps),Common Service Centres (CSC),3-6 Yrs,Unpaid,Delhi / NCR,HousekeepingContent managementLaw enforcementBloombergBusiness AnalystSocial mediaDiversity and InclusionFinance,Other,Delhi / NCR,3,6,Mid Level (3-5 Yrs),Disclosed
Data Migration Senior Developer,Link Group,5-9 Yrs,Not disclosed,"Noida, Uttar Pradesh",Application testingExcelTechno functionalSystem designTest casesTechnical supportAnalyticsCRM,Other,Noida,5,9,Mid Level (3-5 Yrs),Not Disclosed
Data Science,Vitrana,2-7 Yrs,14-22.5 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Business AnalystJIRA.Requirement GatheringAgileIBM OpenPagesScrumPageRequirements,Data Science,Kolkata,2,7,Junior (1-2 Yrs),Disclosed
Data Architect,Response Informatics,6-7 Yrs,Not disclosed,Ahmedabad,Advanced ExcelPivot TableStrategic ThinkingAnalytical SkillsBusiness Management SkillsTrainingBusiness analysisManagement,Other,Ahmedabad,6,7,Senior (6-10 Yrs),Not Disclosed
Sr. Data Engineer,Bobble App,2-3 Yrs,1.5-6.5 Lacs PA,Gurgaon/Gurugram,UsageExcelBusiness AnalystProject managementSupervisionOperationsBusiness analysisProject,Other,Gurgaon,2,3,Junior (1-2 Yrs),Disclosed
Data science,Websoullabs,2-5 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Analytical skillsTrainingBusiness AnalystProject managementAgileEquityApplication softwareRecruitment,Data Science,Gurgaon/ Gurgaon,2,5,Junior (1-2 Yrs),Not Disclosed
Data Science,Skillety,6-11 Yrs,30-35 Lacs PA,"New Delhi, Delhi, Delhi / NCR",PenetrationSenior ExecutiveAnalyticalWorkflowData analyticsBusiness strategyNew product developmentDigital marketing,Data Science,Delhi,6,11,Senior (6-10 Yrs),Disclosed
Data Engineer,Miracle Solution,5-7 Yrs,Not disclosed,Gurgaon/Gurugram,Google AnalyticsWeb analyticsKPIOnline marketingpower biBusiness deliveryData analyticsSPSS,Other,Gurgaon,5,7,Mid Level (3-5 Yrs),Not Disclosed
Crypto Data Engineer Intern,Token Metrics,3-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,HR AnalyticsMS ExcelData AnalyticsAnalyticsDataMicrosoftManagementExcel,Other,Hybrid - Delhi / NCR,3,5,Mid Level (3-5 Yrs),Not Disclosed
Coordinator : Data and MIS,Chintan Environmental Research And Action Group,2-6 Yrs,3.5-5 Lacs PA,Remote,Computer scienceCareer developmentData analysisGoogle AnalyticsWeb analyticsAnalyticalData processingHTML,Other,Remote,2,6,Junior (1-2 Yrs),Disclosed
Data Engineer - Devops/MLOps,Careernet Technologies,3-5 Yrs,"5,000/month","Navi Mumbai, Maharashtra",Career developmentData analysisIT strategyAnalyticalqueryConsultingIntellectual propertyInformation technology,Other,Navi Mumbai,3,5,Mid Level (3-5 Yrs),Disclosed
Big Data Engineer,Ceresight,3-8 Yrs,4-7 Lacs PA,Gurgaon/Gurugram,IT servicesEmployee trainingData analysisLMSNetwork infrastructureBillingData AnalystICT,Other,Gurgaon,3,8,Mid Level (3-5 Yrs),Disclosed
"python developer, data science, ML, AI, freshers, Django",EXCELPTP,4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Exceldata scienceMS AccessFinanceUS healthcareContinuous improvementVariance analysisAnalytics,Data Science,Hyderabad,4,9,Mid Level (3-5 Yrs),Not Disclosed
Senior Specialist Master Data,Adidas,1-4 Yrs,Not disclosed,"Visakhapatnam, Hyderabad/Secunderabad",Performance tuningAutomationDb2Data modelingRDBMSAgileOracleTeradata,Other,Visakhapatnam,1,4,Junior (1-2 Yrs),Not Disclosed
Analytical Consultant,Leadsky,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,ProcurementSupply chainAnalystSemiconductorSAPData managementMarket researchFinancial statement analysis,Other,Gurgaon,4,8,Mid Level (3-5 Yrs),Not Disclosed
AI /ML Developer,CMS Computers,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,AutomationData analysisData modelingMachine learningData qualityData miningAnalyticsMonitoring,Other,Hyderabad,1,3,Junior (1-2 Yrs),Not Disclosed
Tableau Developer,GM Analytics Solutions,1-3 Yrs,4.5-6.5 Lacs PA,"Mumbai, Maharashtra",Product qualityAutomationCommercial vehicleMachine learningAutomotiveTechnical supportAnalyticsSQL,Other,Mumbai,1,3,Junior (1-2 Yrs),Disclosed
Financial Analyst,Emend Data Analytics And Risk Consulting Llp,3-7 Yrs,Not disclosed,Bhubaneswar,ERPData managementData modelingBusiness analyticsmicrosoftData miningBusiness intelligencecisco,Data Analytics,Bhubaneswar,3,7,Mid Level (3-5 Yrs),Not Disclosed
Machine Learning Intern,Wrtr Ink Llp,4-9 Yrs,Not disclosed,Pune,Strategic managementPDFSASAnalyticalRetail bankingManagement consultingBankingData Analyst,Other,Pune,4,9,Mid Level (3-5 Yrs),Not Disclosed
Hiring For Team Leader - Business Intelligence/Data Analysis - Mumbai,Ptap Delivery Solutions,5-7 Yrs,Not disclosed,Mumbai,PytonSQLProduct analysisDataData analysis,Other,Mumbai,5,7,Mid Level (3-5 Yrs),Not Disclosed
DM/MGR- Innovation Manager,Maruti Suzuki,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainOutboundAnalyticalVASInventory controlBusiness intelligenceForecastingLogistics,Other,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
Senior Business Systems Analyst - Big Data (PM),Metlife,4-7 Yrs,Not disclosed,Chennai,ExcelAnalytical SkillsCommunication SkillsData AnalysisData CleansingData ProcessingDataAnalytics,Data Analytics,Chennai,4,7,Mid Level (3-5 Yrs),Not Disclosed
Business Systems/Data Analyst,Pinion Services,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainData analysisProject managementProcess improvementAnalyticalConsultingManagement consultingAnalytics,Data Analytics,Bangalore,3,6,Mid Level (3-5 Yrs),Not Disclosed
Assistant Manager,EXL,3-6 Yrs,Not disclosed,Ahmedabad,ERPData managementData modelingBusiness intelligencemicrosoftData miningciscoAnalytics,Other,Ahmedabad,3,6,Mid Level (3-5 Yrs),Not Disclosed
Trainers For Business Analysis (BA) and Data Analysis (DA),Dhasha Consulting Services,4-8 Yrs,Not disclosed,Chennai,Data analysisPDFLinuxRDBMSMySQLSCALAdata visualizationReporting tools,Other,Chennai,4,8,Mid Level (3-5 Yrs),Not Disclosed
Reference Data Business Analyst,Enrich And Enlight Business Consulting,3-5 Yrs,Not disclosed,Remote,Data QualitySAPExcelPower BIWorkdayTroubleshootingProject deliveryProject,Data Analytics,Remote,3,5,Mid Level (3-5 Yrs),Not Disclosed
Data scientist / Data Analyst / AI Expert,Innovadors Lab,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,ProcurementAutomationData validationUsageGCPFinancial planningOracleAnalytics,Data Science,Bangalore,4,5,Mid Level (3-5 Yrs),Not Disclosed
