Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
Business Specialist,Broadridge,3-4 Yrs,Not disclosed,Pune,Data analysisDiagnosticsAnalyticalManagement consultingHealthcareCMEmedical recordsStakeholder management,Other,Pune,3,4,Mid Level (3-5 Yrs),Not Disclosed
Mathematical Optimization,Theta Direct Innovations,2-4 Yrs,Not disclosed,Mumbai,Business AnalysisQAProgram ManagementWealth ManagementPortfolio Managementtest casesUATSDP,Other,Mumbai,2,4,Junior (1-2 Yrs),Not Disclosed
Associate Manager - Snowflake + SQL + Python (T&H),Tredence,2-4 Yrs,Not disclosed,Remote,Business processTrainingData analysisBusiness AnalystTrend analysisManager TechnologyMarket researchAnalysis,Other,Remote,2,4,Junior (1-2 Yrs),Not Disclosed
Hiring Product Owner || US Healthcare || 6+ Years || Immediate Joiners,Emids,3-5 Yrs,Not disclosed,Pune,Hr ReportingAdvanced ExcelWorkdayHR AnalyticsHRMSAnalyticsWorkforceHrsd,Other,Pune,3,5,Mid Level (3-5 Yrs),Not Disclosed
Manager - Web Analytics,Essencemediacom Canada,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisPayrollBusiness AnalystCompetitive analysisNeural networksAnalyticalMachine learningMarket research,Data Analytics,Hyderabad,4,8,Mid Level (3-5 Yrs),Not Disclosed
Conversational AI,US based Software Company,10-20 Yrs,Not disclosed,Pune,Analytical skillsAnalystData analysisClient satisfactionExcelProject managementAnalyticalManagement consulting,Other,Pune,10,20,Senior (6-10 Yrs),Not Disclosed
Associate Consultant - Analytics,Gartner,3-6 Yrs,Not disclosed,Pune,IT servicesSANHead Business DevelopmentBusiness AnalystSOCSystem analysisCRMAnalysis,Data Analytics,Pune,3,6,Mid Level (3-5 Yrs),Not Disclosed
Statistical Programmer,Novotech Asia,4-8 Yrs,Not disclosed,Chennai,Product managementData analysisBusiness AnalystProject managementAnalyticalMarket researchManagementBusiness operations,Other,Chennai,4,8,Mid Level (3-5 Yrs),Not Disclosed
Statistical Programmer,Novotech,5-10 Yrs,Not disclosed,Remote,TrainingUsageBusiness AnalystArchitectureAgileTest scenariosbusiness rulesUPS,Other,Remote,5,10,Mid Level (3-5 Yrs),Not Disclosed
Machine Learning Quant,Fionics,5-10 Yrs,2-3.25 Lacs PA,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Data analysisBusiness analysisBfsiAgileGap analysisCapital marketAsset managementTest cases,Other,Mumbai,5,10,Mid Level (3-5 Yrs),Disclosed
Adobe Target Adobe Launch,ERM Placement Services (p) Ltd.,4-5 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Stakeholder EngagementSociologySenior AnalystAnalyticalHTTPPowerpointStakeholder managementMonitoring,Other,Mumbai,4,5,Mid Level (3-5 Yrs),Not Disclosed
Tableau Consultant,Blend360 India,10-12 Yrs,2-7 Lacs PA,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Business Strategybusiness analysisStrategy analysisbusiness modelsbusiness modelingstrategy operationsOperations StrategyAnalysis,Other,Mumbai,10,12,Senior (6-10 Yrs),Disclosed
Oracle Analytics Expert,Technip Energies,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Relationship managementData analysisCollateral managementBusiness analysisInvestment bankingCapital marketAsset managementMS Office,Data Analytics,Kolkata,5,8,Mid Level (3-5 Yrs),Not Disclosed
Etl Designer,Iitjobs Inc.,7-12 Yrs,Not disclosed,"Hybrid - Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Product AnalystSalesProduct Development ManagerInstrumentationLife sciencesAnalyticsFinancial servicesSQL,Other,Hybrid - Pune,7,12,Senior (6-10 Yrs),Not Disclosed
Junior Strategist,Tower Research Capital,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainDynamics 365web servicesMicrosoft DynamicsBusiness solutionsdynamics CRM PluginsWorkflows.net,Other,Bangalore,6,10,Senior (6-10 Yrs),Not Disclosed
Powerbi OAS Consultant,Virtusa,4-7 Yrs,Not disclosed,"Singapore, Canada, United Kingdom (UK)",MiningComputer scienceChange managementAutomationBusiness AnalystTechnical writingAnalyticalContinuous improvement,Other,Singapore,4,7,Mid Level (3-5 Yrs),Not Disclosed
Engagement Manager,Talent Corner Hr Services,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,ERPFinanceUser StoriesBusiness AnalysisUsageAnalysis,Other,Bangalore,4,9,Mid Level (3-5 Yrs),Not Disclosed
Microsoft Power BI Application Developer,Accenture,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical SkillsAnalytical SkillPortfolioAnalyticalAnalytics,Other,Bangalore,7,12,Senior (6-10 Yrs),Not Disclosed
Health Intelligence Specialist,Novartis,4-9 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",CCB implementationBusiness analysisOracle CC&BTechnical architecturefinancial managementbusiness modelingCcTechnical,Other,Hybrid - Pune,4,9,Mid Level (3-5 Yrs),Not Disclosed
Planner -Assistant Manager-MDM,V Mart,5-10 Yrs,Not disclosed,"Mumbai, New Delhi, Bangalore/Bengaluru",Data analysisBloombergBusiness analysisXMLFixed incomeFunctional AnalystAsset managementPortfolio management,Other,Mumbai,5,10,Mid Level (3-5 Yrs),Not Disclosed
AWS ADMINISTRATOR L3,Oculusit,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",MISReconciliationmarket dataBudgetingCustomer serviceMacrosFinancial servicesAnalytics,Other,Kolkata,5,10,Mid Level (3-5 Yrs),Not Disclosed
"Manager, RME",Room To Read,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",advanced analyticsStatistical analysisAnalyticalanalytics analystManager TechnologyHealthcareData processingHR,Other,Kolkata,2,6,Junior (1-2 Yrs),Not Disclosed
Asst. Manager – Digital Analytics,Vistara,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Business processBusiness AnalystAnalyticalITSMManagementIT operationsAdvertisingRecruitment,Data Analytics,Kolkata,3,5,Mid Level (3-5 Yrs),Not Disclosed
Service Process Specialist,Saxo Group,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Power BiApi DocumentationPoSOracle MICROSPOBiAPIRestaurant,Other,Kolkata,3,8,Mid Level (3-5 Yrs),Not Disclosed
Service Process Specialist,Saxo,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Operations AnalystExcelMISAnalyticalConditional formattingMS OfficeManagement reportingService operations,Other,Bangalore,2,4,Junior (1-2 Yrs),Not Disclosed
"Deputy Manager, Business Intelligence & Reporting",Axa Technology Services,2-5 Yrs,Not disclosed,New Delhi,AnalystPolitical scienceAnalyticalReconciliationStrategic planningBusiness planningEvent planningStakeholder management,Other,Delhi,2,5,Junior (1-2 Yrs),Not Disclosed
Manager - Business Intelligence & Reporting,Axa Technology Services,5-7 Yrs,15-30 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Business processIT Business AnalystService levelDesign reviewProcess improvementIntegration testingManager TechnologyHealthcare,Other,Kolkata,5,7,Mid Level (3-5 Yrs),Disclosed
Business Intelligence Advisor,NTT,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",System architectureFront officeAnalyticalMarket riskBack officeProduct controlRisk managementAnalytics,Other,Kolkata,5,7,Mid Level (3-5 Yrs),Not Disclosed
Senior Business Development Manager - Mobile Apps/ Web Development,Trignodev Software,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainBusiness servicesChange managementManager Internal AuditDue diligenceproject supportProject managementProcess improvement,Other,Bangalore,12,15,Expert (10+ Yrs),Not Disclosed
Machine Learning Engineer- II,General Mills,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,LoansData analysisProduction supportBusiness analysisUMLFunctional AnalystBankingAgile methodology,Other,Bangalore,6,9,Senior (6-10 Yrs),Not Disclosed
ML Engineer,Essenware,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Manager Quality AssuranceData conversionLegal complianceAnalyticalSabreCustomer serviceTechnology solutionsOperations,Other,Kolkata,3,7,Mid Level (3-5 Yrs),Not Disclosed
Analytics Engineer,Rockwell Automation,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",#REF!Business analysisREF,Data Analytics,Kolkata,3,5,Mid Level (3-5 Yrs),Not Disclosed
ML Engineer I,General Mills,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,AutomationBusiness analysisAccess managementProject managementAnalyticalBillingGap analysisContinuous improvement,Other,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
